date,value
6/15/2016,24.29
6/16/2016,24.39
6/17/2016,23.83
6/20/2016,23.78
6/21/2016,23.98
6/22/2016,23.89
6/23/2016,24.03
6/24/2016,23.35
6/27/2016,23.01
6/28/2016,23.40
6/29/2016,23.60
6/30/2016,23.90
7/1/2016,23.97
7/5/2016,23.75
7/6/2016,23.88
7/7/2016,23.99
7/8/2016,24.17
7/11/2016,24.25
7/12/2016,24.36
7/13/2016,24.22
7/14/2016,24.70
7/15/2016,24.70
7/18/2016,24.96
7/19/2016,24.97
7/20/2016,24.99
7/21/2016,24.86
7/22/2016,24.67
7/25/2016,24.34
7/26/2016,24.17
7/27/2016,25.74
7/28/2016,26.09
7/29/2016,26.05
8/1/2016,26.51
8/2/2016,26.12
8/3/2016,26.45
8/4/2016,26.47
8/5/2016,26.87
8/8/2016,27.09
8/9/2016,27.20
8/10/2016,27.00
8/11/2016,26.98
8/12/2016,27.05
8/15/2016,27.37
8/16/2016,27.35
8/17/2016,27.31
8/18/2016,27.27
8/19/2016,27.34
8/22/2016,27.13
8/23/2016,27.21
8/24/2016,27.01
8/25/2016,26.89
8/26/2016,26.74
8/29/2016,26.71
8/30/2016,26.50
8/31/2016,26.53
9/1/2016,26.68
9/2/2016,26.93
9/6/2016,26.93
9/7/2016,27.09
9/8/2016,26.38
9/9/2016,25.78
9/12/2016,26.36
9/13/2016,26.99
9/14/2016,27.94
9/15/2016,28.89
9/16/2016,28.73
9/19/2016,28.40
9/20/2016,28.39
9/21/2016,28.39
9/22/2016,28.66
9/23/2016,28.18
9/26/2016,28.22
9/27/2016,28.27
9/28/2016,28.49
9/29/2016,28.05
9/30/2016,28.26
10/3/2016,28.13
10/4/2016,28.25
10/5/2016,28.26
10/6/2016,28.47
10/7/2016,28.52
10/10/2016,29.01
10/11/2016,29.08
10/12/2016,29.34
10/13/2016,29.25
10/14/2016,29.41
10/17/2016,29.39
10/18/2016,29.37
10/19/2016,29.28
10/20/2016,29.27
10/21/2016,29.15
10/24/2016,29.41
10/25/2016,29.56
10/26/2016,28.90
10/27/2016,28.62
10/28/2016,28.43
10/31/2016,28.39
11/1/2016,27.87
11/2/2016,27.90
11/3/2016,27.46
11/4/2016,27.21
11/7/2016,27.60
11/8/2016,27.77
11/9/2016,27.72
11/10/2016,26.95
11/11/2016,27.11
11/14/2016,26.43
11/15/2016,26.78
11/16/2016,27.50
11/17/2016,27.49
11/18/2016,27.52
11/21/2016,27.93
11/22/2016,27.95
11/23/2016,27.81
11/25/2016,27.95
11/28/2016,27.89
11/29/2016,27.87
11/30/2016,27.63
12/1/2016,27.37
12/2/2016,27.48
12/5/2016,27.28
12/6/2016,27.49
12/7/2016,27.76
12/8/2016,28.03
12/9/2016,28.49
12/12/2016,28.33
12/13/2016,28.80
12/14/2016,28.80
12/15/2016,28.96
12/16/2016,28.99
12/19/2016,29.16
12/20/2016,29.24
12/21/2016,29.27
12/22/2016,29.07
12/23/2016,29.13
12/27/2016,29.32
12/28/2016,29.19
12/29/2016,29.18
12/30/2016,28.96
1/3/2017,29.04
1/4/2017,29.01
1/5/2017,29.15
1/6/2017,29.48
1/9/2017,29.75
1/10/2017,29.78
1/11/2017,29.94
1/12/2017,29.81
1/13/2017,29.76
1/17/2017,30.00
1/18/2017,30.00
1/19/2017,29.95
1/20/2017,30.00
1/23/2017,30.02
1/24/2017,29.99
1/25/2017,30.47
1/26/2017,30.49
1/27/2017,30.49
1/30/2017,30.41
1/31/2017,30.34
2/1/2017,32.19
2/2/2017,32.13
2/3/2017,32.27
2/6/2017,32.57
2/7/2017,32.88
2/8/2017,33.01
2/9/2017,33.11
2/10/2017,33.03
2/13/2017,33.32
2/14/2017,33.76
2/15/2017,33.88
2/16/2017,33.84
2/17/2017,33.93
2/21/2017,34.18
2/22/2017,34.28
2/23/2017,34.13
2/24/2017,34.17
2/27/2017,34.23
2/28/2017,34.25
3/1/2017,34.95
3/2/2017,34.74
3/3/2017,34.95
3/6/2017,34.84
3/7/2017,34.88
3/8/2017,34.75
3/9/2017,34.67
3/10/2017,34.79
3/13/2017,34.80
3/14/2017,34.75
3/15/2017,35.12
3/16/2017,35.17
3/17/2017,35.00
3/20/2017,35.37
